customer_id,customer_name,segment,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,RFM_Segment
AA-10315,Alex Avila,Consumer,9,19,13747.41,4,3,4,11,Champions
AA-10375,Allen Armold,Consumer,7,23,5884.2,4,3,2,9,Loyal Customers
AA-10480,Andrew Allen,Consumer,126,20,17695.59,1,3,4,8,Cant Lose Them
AA-10645,Anna Andreadi,Consumer,29,36,15343.89,3,4,4,11,Loyal Customers
AA-315,Alex Avila,Consumer,3,7,2243.26,4,2,2,8,Potential Loyalists
AA-375,Allen Armold,Consumer,254,8,654.49,1,2,1,4,Lost
AA-480,Andrew Allen,Consumer,315,5,2063.49,1,1,2,4,Lost
AA-645,Anna Andreadi,Consumer,52,11,1968.32,2,2,2,6,At Risk
AB-10015,Aaron Bergman,Consumer,17,32,20037.5,3,4,4,11,Loyal Customers
AB-10060,Adam Bellavance,Home Office,43,32,18416.55,2,4,4,10,At Risk
AB-10105,Adrian Barton,Consumer,28,33,22966.78,3,4,4,11,Loyal Customers
AB-10150,Aimee Bixby,Consumer,36,24,13057.29,3,3,3,9,Loyal Customers
AB-10165,Alan Barnes,Consumer,14,29,11649.26,4,4,3,11,Champions
AB-10255,Alejandro Ballentine,Home Office,6,31,10786.72,4,4,3,11,Champions
AB-105,Adrian Barton,Consumer,44,7,2156.4,2,2,2,6,At Risk
AB-10600,Ann Blume,Corporate,51,22,13318.66,2,3,4,9,At Risk
AB-15,Aaron Bergman,Consumer,413,5,4607.13,1,1,2,4,Lost
AB-150,Aimee Bixby,Consumer,399,4,3143.88,1,1,2,4,Lost
AB-165,Alan Barnes,Consumer,17,6,1399.78,3,1,1,5,Potential Loyalists
AB-255,Alejandro Ballentine,Home Office,44,8,4679.5,2,2,2,6,At Risk
AB-60,Adam Bellavance,Home Office,36,9,1770.23,3,2,2,7,Potential Loyalists
AB-600,Ann Blume,Corporate,8,5,5408.55,4,1,2,7,Potential Loyalists
AC-10420,Alyssa Crouse,Corporate,7,24,10607.69,4,3,3,10,Champions
AC-10450,Amy Cox,Consumer,6,19,16126.39,4,3,4,11,Champions
AC-10615,Ann Chong,Corporate,7,29,12729.72,4,4,3,11,Champions
AC-10660,Anna Chung,Consumer,3,21,6255.62,4,3,3,10,Champions
AC-420,Alyssa Crouse,Corporate,14,9,1689.68,4,2,2,8,Potential Loyalists
AC-450,Amy Cox,Consumer,182,7,1026.6,1,2,1,4,Lost
